,Quad,Labels,Angle,OTR8,OTR9,OTR40,OTR41,OTR42,OTR43
53,QM1,DX,-8.92e-05,-0.000175655,2.57e-22,0.002168714,-1.63e-16,0.002146607,-1.79e-16
54,QM1,DX,-8.9e-05,-0.00017526,2.57e-22,0.002163846,-1.63e-16,0.002141789,-1.78e-16
55,QM1,DX,-8.88e-05,-0.000174866,2.57e-22,0.002158978,-1.63e-16,0.00213697,-1.78e-16
56,QM1,DX,-8.86e-05,-0.000174472,2.57e-22,0.00215411,-1.63e-16,0.002132152,-1.78e-16
57,QM1,DX,-8.84e-05,-0.000174078,2.57e-22,0.002149242,-1.63e-16,0.002127333,-1.78e-16
58,QM1,DX,-8.82e-05,-0.000173683,2.57e-22,0.002144374,-1.63e-16,0.002122515,-1.78e-16
59,QM1,DX,-8.8e-05,-0.000173289,2.57e-22,0.002139505,-1.63e-16,0.002117696,-1.78e-16
60,QM1,DX,-8.78e-05,-0.000172895,2.57e-22,0.002134637,-1.63e-16,0.002112878,-1.78e-16
61,QM1,DX,-8.76e-05,-0.0001725,2.57e-22,0.002129769,-1.63e-16,0.002108059,-1.78e-16
62,QM1,DX,-8.74e-05,-0.000172106,2.57e-22,0.002124901,-1.63e-16,0.002103241,-1.78e-16
63,QM1,DX,-8.72e-05,-0.000171712,2.57e-22,0.002120033,-1.63e-16,0.002098422,-1.78e-16
64,QM1,DX,-8.7e-05,-0.000171318,2.57e-22,0.002115165,-1.62e-16,0.002093604,-1.78e-16
65,QM1,DX,-8.68e-05,-0.000170923,2.57e-22,0.002110297,-1.62e-16,0.002088785,-1.77e-16
66,QM1,DX,-8.66e-05,-0.000170529,2.57e-22,0.002105429,-1.62e-16,0.002083967,-1.77e-16
67,QM1,DX,-8.64e-05,-0.000170135,2.57e-22,0.002100561,-1.62e-16,0.002079148,-1.77e-16
68,QM1,DX,-8.62e-05,-0.00016974,2.57e-22,0.002095693,-1.62e-16,0.00207433,-1.77e-16
69,QM1,DX,-8.6e-05,-0.000169346,2.57e-22,0.002090824,-1.62e-16,0.002069512,-1.77e-16
70,QM1,DX,-8.58e-05,-0.000168952,2.57e-22,0.002085956,-1.61e-16,0.002064693,-1.76e-16
71,QM1,DX,-8.56e-05,-0.000168558,2.57e-22,0.002081088,-1.61e-16,0.002059875,-1.76e-16
72,QM1,DX,-8.54e-05,-0.000168163,2.57e-22,0.00207622,-1.61e-16,0.002055056,-1.76e-16
73,QM1,DX,-8.52e-05,-0.000167769,2.57e-22,0.002071352,-1.62e-16,0.002050238,-1.77e-16
74,QM1,DX,-8.5e-05,-0.000167375,2.57e-22,0.002066484,-1.62e-16,0.002045419,-1.77e-16
75,QM1,DX,-8.48e-05,-0.00016698,2.57e-22,0.002061616,-1.62e-16,0.002040601,-1.77e-16
76,QM1,DX,-8.46e-05,-0.000166586,2.57e-22,0.002056748,-1.62e-16,0.002035782,-1.77e-16
77,QM1,DX,-8.44e-05,-0.000166192,2.57e-22,0.00205188,-1.62e-16,0.002030964,-1.77e-16
78,QM1,DX,-8.42e-05,-0.000165798,2.57e-22,0.002047012,-1.62e-16,0.002026145,-1.77e-16
79,QM1,DX,-8.4e-05,-0.000165403,2.57e-22,0.002042144,-1.62e-16,0.002021327,-1.77e-16
80,QM1,DX,-8.38e-05,-0.000165009,2.57e-22,0.002037275,-1.62e-16,0.002016508,-1.77e-16
81,QM1,DX,-8.36e-05,-0.000164615,2.57e-22,0.002032407,-1.62e-16,0.00201169,-1.77e-16
82,QM1,DX,-8.34e-05,-0.00016422,2.57e-22,0.002027539,-1.62e-16,0.002006871,-1.77e-16
83,QM1,DX,-8.32e-05,-0.000163826,2.57e-22,0.002022671,-1.63e-16,0.002002053,-1.78e-16
84,QM1,DX,-8.3e-05,-0.000163432,2.57e-22,0.002017803,-1.63e-16,0.001997235,-1.78e-16
85,QM1,DX,-8.28e-05,-0.000163038,2.57e-22,0.002012935,-1.63e-16,0.001992416,-1.78e-16
86,QM1,DX,-8.26e-05,-0.000162643,2.57e-22,0.002008067,-1.62e-16,0.001987598,-1.77e-16
87,QM1,DX,-8.24e-05,-0.000162249,2.57e-22,0.002003199,-1.62e-16,0.001982779,-1.77e-16
88,QM1,DX,-8.22e-05,-0.000161855,2.57e-22,0.001998331,-1.63e-16,0.001977961,-1.78e-16
89,QM1,DX,-8.2e-05,-0.00016146,2.57e-22,0.001993463,-1.63e-16,0.001973142,-1.78e-16
90,QM1,DX,-8.18e-05,-0.000161066,2.57e-22,0.001988594,-1.63e-16,0.001968324,-1.78e-16
91,QM1,DX,-8.16e-05,-0.000160672,2.57e-22,0.001983726,-1.63e-16,0.001963505,-1.77e-16
92,QM1,DX,-8.14e-05,-0.000160278,2.57e-22,0.001978858,-1.63e-16,0.001958687,-1.78e-16
93,QM1,DX,-8.12e-05,-0.000159883,2.57e-22,0.00197399,-1.62e-16,0.001953868,-1.77e-16
94,QM1,DX,-8.1e-05,-0.000159489,2.57e-22,0.001969122,-1.62e-16,0.00194905,-1.77e-16
95,QM1,DX,-8.08e-05,-0.000159095,2.57e-22,0.001964254,-1.62e-16,0.001944231,-1.77e-16
96,QM1,DX,-8.06e-05,-0.0001587,2.57e-22,0.001959386,-1.62e-16,0.001939413,-1.77e-16
97,QM1,DX,-8.04e-05,-0.000158306,2.57e-22,0.001954518,-1.62e-16,0.001934594,-1.77e-16
98,QM1,DX,-8.02e-05,-0.000157912,2.57e-22,0.00194965,-1.62e-16,0.001929776,-1.77e-16
99,QM1,DX,-8e-05,-0.000157518,2.57e-22,0.001944782,-1.62e-16,0.001924957,-1.77e-16
100,QM1,DX,-7.98e-05,-0.000157123,2.57e-22,0.001939914,-1.62e-16,0.001920139,-1.76e-16
101,QM1,DX,-7.96e-05,-0.000156729,2.57e-22,0.001935045,-1.62e-16,0.001915321,-1.76e-16
102,QM1,DX,-7.94e-05,-0.000156335,2.57e-22,0.001930177,-1.62e-16,0.001910502,-1.77e-16
103,QM1,DX,-7.92e-05,-0.00015594,2.57e-22,0.001925309,-1.62e-16,0.001905684,-1.76e-16
104,QM1,DX,-7.9e-05,-0.000155546,2.57e-22,0.001920441,-1.62e-16,0.001900865,-1.76e-16
