,Cdelta,Ct,Cx,Cxp,Cy,Cyp,Sdelta,alphacx,alphacy,betacx,betacy,charge,duration,ecnx,ecny,enx,eny,etax,etaxp,etay,etayp,s,total_ecn,CdeltaAve,CtAve,CxAve,CxpAve,CyAve,CypAve,SdeltaAve,alphacxAve,alphacyAve,betacxAve,betacyAve,chargeAve,durationAve,ecnxAve,ecnyAve,enxAve,enyAve,particlesAve,x,xp,y,yp,s,betacx,betacy,alphacx,alphacy,etax,etay,enx,eny,duration,s,Sxp,Syp
0,-0.4890470202326561,6.784203784900701e-30,8.470329472543004e-23,5.293955920339377e-23,-8.470329472543004e-23,-4.235164736271502e-23,0.0002554764898836828,0.07437910941883234,0.04724668990696011,5.991147475711856,5.130682712496894,1.5e-12,5.669133884541267e-15,4.3393743633916406e-08,4.206366255131302e-08,4.3393743633916406e-08,4.206366255131302e-08,8.909509409065696e-16,3.5644374413936374e-17,-7.356998879036467e-16,1.6578594588526406e-16,0.0,8.545740618522943e-08,-0.48907872843943095,-6.267851858412486e-16,1.1579021525082506e-06,-1.1472520116251487e-07,1.2179862972546395e-06,1.6927949687916884e-07,0.00019872800094919137,2.399419830499195,0.2503732064299856,12.300879674107664,4.820210784910582,7.500000000000001e-13,2.8345669422706336e-15,4.01729806226117e-08,6.8121651904426e-08,4.0172980622611275e-08,6.812165190442653e-08,5.0,0.0001526384,1.848177e-05,4.706686e-06,-9.188106e-07,0.0,5.991147,5.130683,0.07437911,0.04724669,8.909509e-16,-7.356999e-16,4.339374e-08,4.206366e-08,5.669134e-15,0.0,1.04628e-06,1.111326e-06
1,-0.4890470202326561,6.784203784900701e-30,8.470329472543004e-23,5.293955920339377e-23,-8.470329472543004e-23,-4.235164736271502e-23,0.0002554764898836828,0.07437910941883234,0.04724668990696011,5.991147475711856,5.130682712496894,1.5e-12,5.669133884541267e-15,4.3393743633916406e-08,4.206366255131302e-08,4.3393743633916406e-08,4.206366255131302e-08,8.909509409065696e-16,3.5644374413936374e-17,-7.356998879036467e-16,1.6578594588526406e-16,0.0,8.545740618522943e-08,-0.48907872843943095,-6.267851858412486e-16,1.1579021525082506e-06,-1.1472520116251487e-07,1.2179862972546395e-06,1.6927949687916884e-07,0.00019872800094919137,2.399419830499195,0.2503732064299856,12.300879674107664,4.820210784910582,7.500000000000001e-13,2.8345669422706336e-15,4.01729806226117e-08,6.8121651904426e-08,4.0172980622611275e-08,6.812165190442653e-08,5.0,0.0001325642,2.005623e-05,-3.633414e-06,1.542598e-06,0.0,5.991147,5.130683,0.07437911,0.04724669,8.909509e-16,-7.356999e-16,4.339374e-08,4.206366e-08,5.669134e-15,0.0,1.04628e-06,1.111326e-06
2,-0.4890470202326561,2.668512791724657e-11,-7.977993063918603e-08,-1.994499521006261e-05,7.705678949738657e-17,1.5927671067640908e-17,0.0002554764898836828,0.07301011059895385,0.04571011741123969,5.9900127945483135,5.129938855909564,1.5e-12,5.668677423988119e-15,4.3393423660345035e-08,4.2063662493138324e-08,4.3401710760441855e-08,4.2063662493138324e-08,3.1922288479423675e-07,7.98255982384889e-05,1.3868671616416203e-14,-4.7244874879715216e-12,0.0,8.545708615348337e-08,-0.48907872843943095,2.6684501212586328e-11,1.0771943620000556e-06,-2.0062243746041395e-05,1.219340483634207e-06,1.692732853717445e-07,0.00019872800094919137,2.3921407961594214,0.2485820032013934,12.262646912545547,4.816218943689116,7.500000000000001e-13,2.8343387119940594e-15,4.017272050911048e-08,6.812165203012515e-08,4.007842210138577e-08,6.812165201348385e-08,5.0,0.0001416239,1.86274e-05,-4.093081e-06,4.005251e-07,0.0,5.990013,5.129939,0.07301011,0.04571012,3.192229e-07,1.386867e-14,4.340171e-08,4.206366e-08,5.668677e-15,0.0,1.04628e-06,1.111326e-06
3,-0.4890470202326561,5.337025583401765e-11,-3.1911985455910926e-07,-3.988999043526944e-05,1.5410841209379488e-16,3.1250094742821254e-17,0.0002554764898836828,0.07167166006440646,0.04414738622535911,5.988899486267111,5.129219992813279,1.5e-12,5.6682210359999524e-15,4.339310390131032e-08,4.206366251865972e-08,4.3426239821144035e-08,4.206366251865972e-08,1.2771116951239154e-06,0.0001596512161012548,2.847145892631766e-14,-4.7122634477905646e-12,0.00816326530612245,8.545676641997005e-08,-0.48907872843943095,5.336962920988152e-11,8.369063272995563e-07,-4.000976820942675e-05,1.2206946700137426e-06,1.6927328549340554e-07,0.00019872800094919137,2.3849242786084757,0.2467662255390709,12.224528905429636,4.812256154982423,7.500000000000001e-13,2.8341105179999762e-15,4.017246081197549e-08,6.812165207148854e-08,4.0008456804943036e-08,6.812165205489468e-08,5.0,0.0001313157,1.924877e-05,-7.69784e-07,-1.209824e-06,0.008163265,5.988899,5.12922,0.07167166,0.04414739,1.277112e-06,2.847146e-14,4.342624e-08,4.206366e-08,5.668221e-15,0.4,1.461506e-06,1.111327e-06
4,-0.4890470202326561,8.005538374983779e-11,-7.18019728903742e-07,-5.9834985690759696e-05,2.31154528976046e-16,4.657232783558847e-17,0.0002554764898836828,0.07033321465625861,0.0425846550394658,5.987807562559111,5.128526131377197,1.5e-12,5.6677647379450595e-15,4.3392784559684723e-08,4.206366256090951e-08,4.346729818606883e-08,4.206366256090951e-08,2.8736481600407394e-06,0.00023947683445908115,4.3076147269521186e-14,-4.6993398273544435e-12,0.0163265306122449,8.545644712059423e-08,-0.48907872843943095,8.005475720622556e-11,4.370381196788028e-07,-5.995729270319833e-05,1.2220488563932227e-06,1.69273285682354e-07,0.00019872800094919137,2.37770778164948,0.24495044787676185,12.186525977486125,4.80832241681075,7.500000000000001e-13,2.8338823689725298e-15,4.017220140688622e-08,6.812165213995392e-08,3.9962928312722296e-08,6.812165212340999e-08,5.0,0.000136957,1.948687e-05,-1.423291e-05,1.347446e-07,0.01632653,5.987808,5.128526,0.07033321,0.04258466,2.873648e-06,4.307615e-14,4.34673e-08,4.206366e-08,5.667765e-15,1.4,1.461506e-06,1.111327e-06
5,-0.4890470202326561,1.0674051166423148e-10,-1.2764795660270097e-06,-7.977998099167512e-05,3.0819480133096115e-16,6.189453975253201e-17,0.0002554764898836828,0.06899477898232156,0.04102192385358759,5.98673696418639,5.127857271602084,1.5e-12,5.667308547333173e-15,4.33924651774565e-08,4.206366261988766e-08,4.352483392029335e-08,4.206366261988766e-08,5.108881672882038e-06,0.0003193024535632108,5.76827366460268e-14,-4.685715676146506e-12,0.02448979591836735,8.545612779734416e-08,-0.48907872843943095,1.0673988520114421e-10,-1.2241030609488378e-07,-7.990481724250582e-05,1.223403042772621e-06,1.6927328593859015e-07,0.00019872800094919137,2.3704912649066423,0.24313467021449886,12.148638272875626,4.804417729178771,7.500000000000001e-13,2.8336542736665867e-15,4.017194201422328e-08,6.812165223552127e-08,3.994163183853141e-08,6.812165221902971e-08,5.0,0.0001325196,2.200708e-05,1.739604e-05,-1.020125e-06,0.0244898,5.986737,5.127857,0.06899478,0.04102192,5.108882e-06,5.768274e-14,4.352483e-08,4.206366e-08,5.667309e-15,1.4,1.461506e-06,1.111327e-06
6,-0.4890470202326561,1.3342563957672324e-10,-1.9944993269372077e-06,-9.972497635315746e-05,3.8522965267501383e-16,7.721649755959136e-17,0.0002554764898836828,0.06765635402830587,0.03945919266775207,5.985687742070535,5.127213413488641,1.5e-12,5.666852481690183e-15,4.339214611817988e-08,4.206366269559418e-08,4.359877754684813e-08,4.206366269559418e-08,7.982518631663227e-06,0.00039912807366475925,7.229724699462439e-14,-4.671391390215359e-12,0.0326530612244898,8.545580881377405e-08,-0.48907872843943095,1.3342501319416329e-10,-8.414388610995958e-07,-9.985234184249888e-05,1.2247572291519152e-06,1.6927328626211367e-07,0.00019872800094919137,2.363274712804498,0.24131889255231373,12.110865692032078,4.800542092091087,7.500000000000001e-13,2.8334262408450916e-15,4.0171682784447385e-08,6.812165235819063e-08,3.9944317250258096e-08,6.812165234175385e-08,5.0,0.0001337061,2.093003e-05,3.972378e-06,5.651083e-07,0.03265306,5.985688,5.127213,0.06765635,0.03945919,7.982519e-06,7.229725e-14,4.359878e-08,4.206366e-08,5.666852e-15,1.8,1.051171e-06,1.11132e-06
7,-0.4890470202326561,1.601107674868376e-10,-2.872079057688147e-06,-0.00011966997179034837,4.622588288983199e-16,9.253834948753231e-17,0.0002554764898836828,0.06631794099855007,0.03789646148198704,5.984659885046564,5.126594557037509,1.5e-12,5.666396558322258e-15,4.339182729469577e-08,4.2063662788029046e-08,4.3689041166643745e-08,4.2063662788029046e-08,1.149491233772293e-05,0.00047895369501491395,8.691999515419765e-14,-4.656367286399885e-12,0.04081632653061224,8.545549008272481e-08,-0.48907872843943095,1.6011014118480864e-10,-1.7200476348218717e-06,-0.00011979986651832715,1.2261114155310808e-06,1.6927328665292477e-07,0.00019872800094919137,2.3560579842409695,0.23950311489023915,12.073207833262684,4.796695505552229,7.500000000000001e-13,2.833198279161129e-15,4.017142428638938e-08,6.812165250796191e-08,3.997069117051841e-08,6.81216524915824e-08,5.0,0.0001282462,1.906311e-05,-2.13996e-06,-8.339656e-07,0.04081633,5.98466,5.126595,0.06631794,0.03789646,1.149491e-05,8.692e-14,4.368904e-08,4.206366e-08,5.666397e-15,2.0,1.051171e-06,1.11132e-06
8,-0.4890470202326561,1.8679589539409907e-10,-3.909218731676893e-06,-0.00013961496731838965,5.392826688140582e-16,1.0785998965723645e-16,0.0002554764898836828,0.06497953405796687,0.03633373029632032,5.9836533881280465,5.126000702249269,1.5e-12,5.665940794755288e-15,4.339150870467206e-08,4.2063662897192243e-08,4.3795519461913886e-08,4.2063662897192243e-08,1.5645893428749473e-05,0.000558779317864845,1.01553515835816e-13,-4.6406430478612e-12,0.0489795918367347,8.54551716018643e-08,-0.48907872843943095,1.8679526917260596e-10,-2.758236591727001e-06,-0.00013974739128514037,1.227465601910093e-06,1.6927328711102338e-07,0.00019872800094919137,2.348841215017443,0.2376873372283072,12.035664944587896,4.792877969566659,7.500000000000001e-13,2.832970397377644e-15,4.0171166143999693e-08,6.812165268483513e-08,4.002041916057368e-08,6.81216526685153e-08,5.0,0.0001305144,1.996699e-05,-3.658749e-06,5.478963e-07,0.04897959,5.983653,5.126001,0.06497953,0.03633373,1.564589e-05,1.015535e-13,4.379552e-08,4.206366e-08,5.665941e-15,2.0001,1.051171e-06,1.11132e-06
9,-0.4890470202326561,2.1348102329803214e-10,-5.105918373248237e-06,-0.00015955996295242302,6.163015112354078e-16,1.231813757170564e-16,0.0002554764898836828,0.06364112949976054,0.0347709991107795,5.982668272184425,5.125431849124436,1.5e-12,5.665485208334216e-15,4.3391190518895675e-08,4.206366302308376e-08,4.3918090360401665e-08,4.206366302308376e-08,2.0435299150170096e-05,0.0006386049424658138,1.1620129426719992e-13,-4.624218753809026e-12,0.05714285714285715,8.545485354197943e-08,-0.48907872843943095,2.1348039715708114e-10,-3.956005740733135e-06,-0.0001596949161580881,1.228819788288927e-06,1.692732876364094e-07,0.00019872800094919137,2.3416242566647383,0.23587155956655015,11.998236751599075,4.7890894841387635,7.500000000000001e-13,2.832742604167108e-15,4.017090857053157e-08,6.812165288881024e-08,4.0093130139606675e-08,6.812165287255256e-08,5.0,0.0001299978,2.127901e-05,2.452802e-06,7.918523e-07,0.05714286,5.982668,5.125432,0.06364113,0.034771,2.04353e-05,1.162013e-13,4.391809e-08,4.206366e-08,5.665485e-15,2.0001,1.051171e-06,1.11132e-06
