,Cdelta,Ct,Cx,Cxp,Cy,Cyp,Sdelta,alphacx,alphacy,betacx,betacy,charge,duration,ecnx,ecny,enx,eny,etax,etaxp,etay,etayp,s,total_ecn,CdeltaAve,CtAve,CxAve,CxpAve,CyAve,CypAve,SdeltaAve,alphacxAve,alphacyAve,betacxAve,betacyAve,chargeAve,durationAve,ecnxAve,ecnyAve,enxAve,enyAve,particlesAve,x,xp,y,yp,s,betacx,betacy,alphacx,alphacy,etax,etay,enx,eny,duration,s,Sxp,Syp
0,-0.4890470202326561,6.784203784900701e-30,8.470329472543004e-23,5.293955920339377e-23,-8.470329472543004e-23,-4.235164736271502e-23,0.0002554764898836828,0.07437910941883234,0.04724668990696011,5.991147475711856,5.130682712496894,1.5e-12,5.669133884541267e-15,4.3393743633916406e-08,4.206366255131302e-08,4.3393743633916406e-08,4.206366255131302e-08,8.909509409065696e-16,3.5644374413936374e-17,-7.356998879036467e-16,1.6578594588526406e-16,0.0,8.545740618522943e-08,-0.48907872843943095,-6.267851858412486e-16,1.1579021525082506e-06,-1.1472520116251487e-07,1.2179862972546395e-06,1.6927949687916884e-07,0.00019872800094919137,2.399419830499195,0.2503732064299856,12.300879674107664,4.820210784910582,7.500000000000001e-13,2.8345669422706336e-15,4.01729806226117e-08,6.8121651904426e-08,4.0172980622611275e-08,6.812165190442653e-08,5.0,0.0001460482,1.753518e-05,4.706687e-06,-9.188106e-07,0.0,5.991147,5.130683,0.07437911,0.04724669,8.909509e-16,-7.356999e-16,4.339374e-08,4.206366e-08,5.669134e-15,0.0,1.04628e-06,1.111326e-06
1,-0.4890470202326561,6.784203784900701e-30,8.470329472543004e-23,5.293955920339377e-23,-8.470329472543004e-23,-4.235164736271502e-23,0.0002554764898836828,0.07437910941883234,0.04724668990696011,5.991147475711856,5.130682712496894,1.5e-12,5.669133884541267e-15,4.3393743633916406e-08,4.206366255131302e-08,4.3393743633916406e-08,4.206366255131302e-08,8.909509409065696e-16,3.5644374413936374e-17,-7.356998879036467e-16,1.6578594588526406e-16,0.0,8.545740618522943e-08,-0.48907872843943095,-6.267851858412486e-16,1.1579021525082506e-06,-1.1472520116251487e-07,1.2179862972546395e-06,1.6927949687916884e-07,0.00019872800094919137,2.399419830499195,0.2503732064299856,12.300879674107664,4.820210784910582,7.500000000000001e-13,2.8345669422706336e-15,4.01729806226117e-08,6.8121651904426e-08,4.0172980622611275e-08,6.812165190442653e-08,5.0,0.0001259691,1.911054e-05,-3.633415e-06,1.542598e-06,0.0,5.991147,5.130683,0.07437911,0.04724669,8.909509e-16,-7.356999e-16,4.339374e-08,4.206366e-08,5.669134e-15,0.0,1.04628e-06,1.111326e-06
2,-0.4890470202326561,2.668512791724688e-11,-7.962524281344717e-08,-1.9906323382209793e-05,7.69073728854909e-17,1.5896796716713488e-17,0.0002554764898836828,0.0730101634493972,0.04571006669904576,5.99001269883195,5.129938856709149,1.5e-12,5.668678309859781e-15,4.3393424194847727e-08,4.2063662493234925e-08,4.3401679193151657e-08,4.2063662493234925e-08,3.1869948122818796e-07,7.967082247752042e-05,1.3841106633536093e-14,-4.715327359005465e-12,0.0,8.545708668808265e-08,-0.4890329280667587,2.66843988537797e-11,7.563525914513857e-07,-2.006514491420991e-05,1.378210378146629e-06,1.5751678903012647e-07,0.00015036778326669867,2.416593347135293,0.2457535475856361,12.190704924918931,4.781907186701861,6.750000000000001e-13,2.8343391549282748e-15,4.413122286684981e-08,7.251354019029521e-08,4.4177530353668717e-08,7.251354017294847e-08,4.5,0.0001350378,1.768424e-05,-4.093082e-06,4.005251e-07,0.0,5.990013,5.129939,0.07301016,0.04571007,3.186995e-07,1.384111e-14,4.340168e-08,4.206366e-08,5.668678e-15,0.0,1.04628e-06,1.111326e-06
3,-0.4890470202326561,5.337025583402011e-11,-3.185010992429932e-07,-3.9812646779475874e-05,1.538094094634141e-16,3.1189574238739936e-17,0.0002554764898836828,0.07167170165653285,0.04414733552068117,5.988899285912944,5.129219994436068,1.5e-12,5.668222807581718e-15,4.3393104934160606e-08,4.2063662518658275e-08,4.342611253103796e-08,4.2063662518658275e-08,1.2748017592474952e-06,0.0001593416645402922,2.8415695282790077e-14,-4.70312929961297e-12,0.00816326530612245,8.545676745281889e-08,-0.4890329280667587,5.336952682861978e-11,5.162106583478183e-07,-3.997034178636589e-05,1.3794705125595892e-06,1.5751678914486584e-07,0.00015036778326669867,2.4093852882435773,0.24393059616683377,12.152190560479212,4.7779897107054605,6.750000000000001e-13,2.8341114037876276e-15,4.413098792774246e-08,7.251354023406208e-08,4.4230630040011363e-08,7.251354021675745e-08,4.5,0.0001247159,1.83036e-05,-7.697833e-07,-1.209824e-06,0.008163265,5.988899,5.12922,0.0716717,0.04414734,1.274802e-06,2.84157e-14,4.342611e-08,4.206366e-08,5.668223e-15,0.4,1.460125e-06,1.111327e-06
4,-0.4890470202326561,8.005538374984607e-11,-7.166275135396559e-07,-5.971897020684959e-05,2.3070560151400123e-16,4.648214000252957e-17,0.0002554764898836828,0.07033324980289501,0.0425846043423038,5.987807252617634,5.128526133830967,1.5e-12,5.6677673950430575e-15,4.3392786022651337e-08,4.2063662560745205e-08,4.34670112206215e-08,4.2063662560745205e-08,2.868252180894126e-06,0.00023901250709521592,4.2990600770927744e-14,-4.6902338778374966e-12,0.0163265306122449,8.545644858339654e-08,-0.48907872843943095,8.005475720576567e-11,4.384304819018536e-07,-5.9841262518018105e-05,1.2220488566817075e-06,1.6927329772480612e-07,0.00019872800094919137,2.3777077468755126,0.24495040034774557,12.186525332366056,4.8083224191322245,7.500000000000001e-13,2.8338836975215287e-15,4.0172202791093074e-08,6.81216521392612e-08,3.996312522238373e-08,6.812165212274933e-08,5.0,0.0001303659,1.853968e-05,-1.423291e-05,1.347446e-07,0.01632653,5.987807,5.128526,0.07033325,0.0425846,2.868252e-06,4.29906e-14,4.346701e-08,4.206366e-08,5.667767e-15,1.4,1.460125e-06,1.111327e-06
5,-0.4890470202326561,1.0674051166425115e-10,-1.2740045407897445e-06,-7.962529367938476e-05,3.0759696547678907e-16,6.177462106302448e-17,0.0002554764898836828,0.06899480712722526,0.04102187316394135,5.986736629841501,5.127857274894612,1.5e-12,5.667312089617824e-15,4.339246768924249e-08,4.20636626194957e-08,4.3524324392747853e-08,4.20636626194957e-08,5.098918790712377e-06,0.0003186833503920625,5.757057568120427e-14,-4.67664077684016e-12,0.02448979591836735,8.545613030873819e-08,-0.48907872843943095,1.0673988520053962e-10,-1.199349688781791e-07,-7.975011032470574e-05,1.2234030431572692e-06,1.6927329798008968e-07,0.00019872800094919137,2.370491191891612,0.2431346227251291,12.148637546669033,4.8044177322862875,7.500000000000001e-13,2.833656044808912e-15,4.017194427364707e-08,6.81216522344597e-08,3.9941709401812774e-08,6.812165221800006e-08,5.0,0.0001259246,2.106091e-05,1.739604e-05,-1.020125e-06,0.0244898,5.986737,5.127857,0.06899481,0.04102187,5.098919e-06,5.757058e-14,4.352432e-08,4.206366e-08,5.667312e-15,1.4,1.460125e-06,1.111327e-06
6,-0.4890470202326561,1.334256395767616e-10,-1.9906321376601996e-06,-9.95316172121352e-05,3.844824849122408e-16,7.706680566198785e-17,0.0002554764898836828,0.06765637504950436,0.03945914198562168,5.985687323749997,5.127213417627699,1.5e-12,5.666856908709123e-15,4.3392149245692554e-08,4.206366269490974e-08,4.359798204094424e-08,4.206366269490974e-08,7.967013186456466e-06,0.00039835419468053115,7.215498633585233e-14,-4.66235063029873e-12,0.0326530612244898,8.545581194060229e-08,-0.48907872843943095,1.3342501319342136e-10,-8.375711912677942e-07,-9.965895819172678e-05,1.2247572296327271e-06,1.6927329830239995e-07,0.00019872800094919137,2.3632746138097303,0.2413188451025905,12.110864895451984,4.800542095991367,7.500000000000001e-13,2.8334284543545614e-15,4.0171685605728566e-08,6.812165235665517e-08,3.99441850107425e-08,6.812165234025021e-08,5.0,0.0001271138,1.998391e-05,3.972378e-06,5.651082e-07,0.03265306,5.985687,5.127213,0.06765638,0.03945914,7.967013e-06,7.215499e-14,4.359798e-08,4.206366e-08,5.666857e-15,1.8,1.051293e-06,1.11132e-06
7,-0.4890470202326561,1.6011076748690388e-10,-2.86651032040721e-06,-0.00011943794082015472,4.613627527434196e-16,9.235890555765648e-17,0.0002554764898836828,0.06631794743928136,0.03789641080737222,5.984659390498125,5.126594562030868,1.5e-12,5.6664018696489715e-15,4.339183113472291e-08,4.2063662786987314e-08,4.368789745148509e-08,4.2063662786987314e-08,1.1472654878463779e-05,0.00047802504021040605,8.674826847924339e-14,-4.647362962954879e-12,0.04081632653061224,8.545549392171023e-08,-0.48907872843943095,1.6011014118393853e-10,-1.7144782007084028e-06,-0.00011956780613414298,1.2261114161080555e-06,1.6927329869173714e-07,0.00019872800094919137,2.356057814924791,0.239503067480162,12.073206583821595,4.796695510251976,7.500000000000001e-13,2.8332009348244857e-15,4.01714277695142e-08,6.812165250584756e-08,3.997026134363878e-08,6.812165248949972e-08,5.0,0.0001216633,1.811746e-05,-2.139959e-06,-8.339656e-07,0.04081633,5.984659,5.126595,0.06631795,0.03789641,1.147265e-05,8.674827e-14,4.36879e-08,4.206366e-08,5.666402e-15,2.0,1.051293e-06,1.11132e-06
8,-0.4890470202326561,1.8679589539420438e-10,-3.901639045302126e-06,-0.00013934426451849715,5.382374301571464e-16,1.07650814870912e-16,0.0002554764898836828,0.0649795275711594,0.036333679629220635,5.983652834706286,5.126000708104695,1.5e-12,5.665946989898636e-15,4.339151336997755e-08,4.206366289572842e-08,4.379396610858443e-08,4.206366289572842e-08,1.5615562137644984e-05,0.0005576958872314567,1.0135295682244692e-13,-4.631678012437769e-12,0.0489795918367347,8.545517626570597e-08,-0.48907872843943095,1.8679526917161872e-10,-2.7506559494028107e-06,-0.00013947665416701603,1.2274656025832318e-06,1.6927329914810105e-07,0.00019872800094919137,2.3488410329336844,0.23768728985787563,12.035663700004264,4.792877975072556,7.500000000000001e-13,2.832973494949318e-15,4.017117015473241e-08,6.81216526820369e-08,4.001960615964211e-08,6.812165266574861e-08,5.0,0.0001239082,1.901921e-05,-3.658749e-06,5.478963e-07,0.04897959,5.983653,5.126001,0.06497953,0.03633368,1.561556e-05,1.01353e-13,4.379397e-08,4.206366e-08,5.665947e-15,2.0001,1.051293e-06,1.11132e-06
9,-0.4890470202326561,2.1348102329818938e-10,-5.0960183965336e-06,-0.00015925058832221632,6.151065171534214e-16,1.2294263948087278e-16,0.0002554764898836828,0.06364111970164431,0.034770948451194585,5.982667628781981,5.1254318558496985,1.5e-12,5.6654922867255126e-15,4.3391195727588094e-08,4.206366302113303e-08,4.391606645773132e-08,4.206366302113303e-08,2.0395842725336997e-05,0.0006373667359931751,1.1597253659318337e-13,-4.615295778747404e-12,0.05714285714285715,8.545485874872112e-08,-0.48907872843943095,2.1348039715598968e-10,-3.946104525605368e-06,-0.00015938550230540767,1.2288197890582309e-06,1.6927329967149197e-07,0.00019872800094919137,2.3416239606962224,0.23587151223576358,11.998235131415719,4.789089490457478,7.500000000000001e-13,2.8327461433627563e-15,4.0170913365984896e-08,6.812165288522314e-08,4.009185128290761e-08,6.812165286899683e-08,5.0,0.0001234144,2.033582e-05,2.452802e-06,7.918523e-07,0.05714286,5.982668,5.125432,0.06364112,0.03477095,2.039584e-05,1.159725e-13,4.391607e-08,4.206366e-08,5.665492e-15,2.0001,1.051293e-06,1.11132e-06
